id,displayName,message,itemType,tags,description,helpLink,object,target.platform,target.engineEdition,level
TF6532.6533,,Enable trace flag 6532 and trace flag 6533 to enable performance improvements for Spatial data.,override,,"Trace Flag 6532 and trace flag 6533 enable performance improvements of query operations with spatial data types.
 The performance gain will vary, depending on the configuration, the types of queries, and the objects.",,,,,Information
TF6532.6533,,Disable trace flag 6532 in SQL Server 2016 and higher versions.,override,,,,,,,Warning
TF6532.6533,TF 6532 and TF 6533 enable performance improvements for Spatial data,Trace flags 6532 and 6533 do not apply to this SQL Server version. Verify need to set a non-default trace flag with the current system build and configuration.,definition,"['DefaultRuleset', 'TraceFlag', 'Performance']","Trace flags 6532 and 6533 enable performance improvements of query operations with spatial data types.
 However, this trace flag does not apply to this SQL Server version.
 Starting with SQL Server 2016, this behavior is controlled by the engine and trace flags 6532 and 6533 have no effect.",https://support.microsoft.com/help/3107399,Server,Windows,OnPremises,Warning
TF6534,,Enable trace flag 6534 to enable performance improvement of query operations with spatial data types.,override,,"Trace Flag 6534 enables performance improvements of query operations with spatial data types.
 The performance gain will vary, depending on the configuration, the types of queries, and the objects.",,,,,Information
TF6534,TF 6534 enables performance improvements for Spatial data,Trace flag 6534 does not apply to this SQL Server version. Verify need to set a non-default trace flag with the current system build and configuration.,definition,"['DefaultRuleset', 'TraceFlag', 'Performance']","Trace Flag 6534 enables performance improvement of query operations with spatial data types.
 However, this trace flag does not apply to this SQL Server version.
 Verify need to set a Non-default trace flag with current system build and configuration.",https://support.microsoft.com/help/3107399,Server,Windows,OnPremises,Warning
TF7412,TF 7412 enables the lightweight profiling infrastructure for live query performance troubleshooting,Enable trace flag 7412 to enables the lightweight profiling infrastructure for live query performance troubleshooting.,definition,"['DefaultRuleset', 'TraceFlag', 'Performance']",Trace Flag 7412 enables the lightweight profiling infrastructure for live query performance troubleshooting. Consider enabling TF 7412 to have the ability to access runtime information on query execution plans for any session.,https://docs.microsoft.com/sql/relational-databases/performance/query-profiling-infrastructure,Server,/^(Windows|Linux)$/,OnPremises,Information
TF9024,TF 9024 converts a global log pool memory object into NUMA node partitioned memory object.,Verify need to set a Non-default TF with current system build and configuration.,definition,"['DefaultRuleset', 'TraceFlag', 'Performance', 'NUMA', 'Memory', 'CPU']",TF9024 converts a global log pool memory object into NUMA node partitioned memory object.,https://support.microsoft.com/help/2809338/fix-high-log-write-waits-counter-value-on-a-sql-server-2012-or-sql-ser,Server,Windows,OnPremises,Warning
TF9024,,Consider enabling TF9024 to convert global log pool memory objects into NUMA node partitioned memory objects.,override,,,,,,,Information
TF9024,,"TF9024 is not needed in SQL Server 2012 SP3, SQL Server 2014 SP1 and above.",override,,,,,,,Warning
TF8048,TF 8048 converts NUMA partitioned memory objects into CPU partitioned,Verify need to set a Non-default TF with current system build and configuration.,definition,"['DefaultRuleset', 'TraceFlag', 'Performance', 'NUMA', 'CPU', 'Memory']",TF 8048 converts NUMA partitioned memory objects into CPU partitioned.,https://support.microsoft.com/en-us/help/2809338/fix-high-log-write-waits-counter-value-on-a-sql-server-2012-or-sql-ser,Server,Windows,OnPremises,Warning
TF8048,,"TF8048 is not needed in SQL Server 2014 SP2, SQL Server 2016 and above.",override,,,,,,,Warning
TF8048,,Consider enabling TF 8048 to convert NUMA partitioned memory objects into CPU partitioned.,override,,,,,,,Information
DeprecatedFeatures,Deprecated or discontinued features should not be used,Detected deprecated or discontinued feature uses: @{DeprecatedFeature}. We recommend to replace them with features actual for SQL Server version @{ProductVersion}.,definition,"['DefaultRuleset', 'Deprecated', 'Security', 'UpdateIssues', 'Performance']",This check detects deprecated or discontinued features used on target SQL Server instance. Deprecated features may be removed in a future release of SQL Server. Discontinued features have been removed from specific versions of SQL Server.,https://docs.microsoft.com/sql/relational-databases/performance-monitor/sql-server-deprecated-features-object,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
SystemHealthSession,system_health XEvent session is not active,Start the session by using the ALTER EVENT SESSION statement or by using the Extended Events node in Object Explorer.,definition,"['DefaultRuleset', 'XEvent', 'SystemHealth']","This session starts automatically when the SQL Server Database Engine starts, and runs without any noticeable performance effects. The session collects system data that you can use to help troubleshoot performance issues in the Database Engine.
 We recommend that you do not stop, alter, or delete the system health session.",https://docs.microsoft.com/sql/relational-databases/extended-events/use-the-system-health-session,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
SPServerDiagnosticsSession,sp_server_diagnostics xEvent session is not active,Start the session by using the ALTER EVENT SESSION statement or by using the Extended Events node in Object Explorer.,definition,"['DefaultRuleset', 'XEvent', 'SystemHealth']","This session starts automatically when the SQL Server Database Engine starts, and runs without any noticeable performance effects. The session collects system data that you can use to help troubleshoot performance issues in the Database Engine.
 We recommend that you do not stop, alter, or delete the system health session.",https://docs.microsoft.com/sql/relational-databases/system-stored-procedures/sp-server-diagnostics-transact-sql,Server,/^(Windows|Linux)$/,OnPremises,Warning
BlackboxTrace,Blackbox trace is configured and running,Make sure you still need the blackbox trace and stop it otherwise.,definition,"['DefaultRuleset', 'Traces']","This trace is designed to behave similarly to an airplane black box, to help you diagnose intermittent server crashes. It consumes more resources than the default trace and should not be running for extended periods of time.",https://docs.microsoft.com/sql/relational-databases/system-stored-procedures/sp-trace-create-transact-sql,Server,/^(Windows|Linux)$/,OnPremises,Warning
DefaultTrace,No default trace was found or is not active,Make sure that there is enough space for SQL Server to write the default trace file. Then have the default trace run by disabling and re-enabling it.,definition,"['DefaultRuleset', 'Traces']",Default trace provides troubleshooting assistance to database administrators by ensuring that they have the log data necessary to diagnose problems the first time they occur.,https://docs.microsoft.com/sql/relational-databases/policy-based-management/default-trace-log-files-disabled,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
HintsStatistics,Hints are being used,"We recommend that <join_hint>, <query_hint>, and <table_hint> be used only as a last resort by experienced developers and database administrators, because the SQL Server Query Optimizer typically selects the best execution plan for a query.",definition,"['DefaultRuleset', 'QueryOptimizer', 'Performance', 'Statistics']","Hints are options or strategies specified for enforcement by the SQL Server query processor on SELECT, INSERT, UPDATE, or DELETE statements. The hints override any execution plan the Query Optimizer might select for a query. Because the SQL Server Query Optimizer typically selects the best execution plan for a query, we recommend that <join_hint>, <query_hint>, and <table_hint> be used only as a last resort by experienced developers and database administrators.",https://docs.microsoft.com/sql/t-sql/queries/hints-transact-sql,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Information
HintsUsageInModules,Hints usage in modules,@{Hint} was used in @{type_desc} @{Schema_Name}.@{Object_Name}.,definition,"['DefaultRuleset', 'QueryOptimizer', 'Performance', 'Statistics']","Hints are options or strategies specified for enforcement by the SQL Server query processor on SELECT, INSERT, UPDATE, or DELETE statements. The hints override any execution plan the Query Optimizer might select for a query. Because the SQL Server Query Optimizer typically selects the best execution plan for a query, we recommend that <join_hint>, <query_hint>, and <table_hint> be used only as a last resort by experienced developers and database administrators.",https://docs.microsoft.com/sql/t-sql/queries/hints-transact-sql,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Information
PlansUseRatio,Amount of single use plans in cache is high,Amount of single use plans in cache is high (@{SingleUsePlansUseRatio:P0}). Consider enabling the Optimize for ad hoc workloads setting on heavy OLTP ad-hoc workloads to conserve resources.,definition,"['DefaultRuleset', 'Performance', 'QueryOptimizer']",Single use plans waste system resources.,https://docs.microsoft.com/sql/database-engine/configure-windows/optimize-for-ad-hoc-workloads-server-configuration-option,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
HypotheticalIndexes,Hypothetical indexes found,Index @{IndexName} for @{Schema}.@{Object} is marked as hypothetical. It is recommended to drop hypothetical index @{IndexName} as soon as possible.,definition,"['DefaultRuleset', 'Indexes', 'Performance']","Database has indexes that are marked as hypothetical. Hypothetical indexes are created by the Database Tuning Assistant (DTA) during its tests. If a DTA session was interrupted, these indexes may not be deleted. It is recommended to drop these objects as soon as possible.",,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
HypotheticalStatistics,Hypothetical statistics found,Statistics @{StatName} for @{Schema}.@{Object} is hypothetical. It is recommended to drop hypothetical statistics @{StatName} as soon as possible.,definition,"['DefaultRuleset', 'Statistics']","Database has statistics that are marked as hypothetical. Hypothetical statistics are created by the Database Tuning Assistant (DTA) during its tests. If a DTA session was interrupted, these statistics may not be deleted. It is recommended to drop these objects as soon as possible.",,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
LatestCU,SQL Server instance is not up to date,Product version @{ProductVersion} is not the latest available. We recommend keeping your SQL Server up to date and install Service Packs and Cumulative Updates as they are released.,definition,"['DefaultRuleset', 'Security', 'UpdateIssues']","On an installed instance of SQL Server, we recommend that you apply the latest security updates and critical updates including general distribution releases (GDRs), service packs (SPs), and cumulative updates (CUs).",https://support.microsoft.com/help/321185/how-to-determine-the-version-edition-and-update-level-of-sql-server-an https://docs.microsoft.com/sql/database-engine/install-windows/install-sql-server-servicing-updates,Server,/^(Windows|Linux)$/,OnPremises,Warning
LatestCU,SQL Server instance is up to date,Product version @{ProductVersion} is the latest available.,override,,,https://support.microsoft.com/help/321185/how-to-determine-the-version-edition-and-update-level-of-sql-server-an https://docs.microsoft.com/sql/database-engine/install-windows/install-sql-server-servicing-updates,,,,Warning
FKNoIndexes,Foreign key constraints should have corresponding indexes,Create a corresponding index for each foreign key. There is no index on the following foreign keys: @{ConstraintName}.,definition,"['DefaultRuleset', 'Performance', 'Indexes']","Unlike primary key constraints, creating a foreign key constraint does not automatically create a corresponding index. However, manually creating an index on a foreign key is often useful.",https://docs.microsoft.com/sql/relational-databases/tables/primary-and-foreign-key-constraints,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
MissedIndexes,Potentially missing indexes,Create an index on @{Table} with key columns @{KeyCols}@{IncludedCols: and included columns: #},definition,"['DefaultRuleset', 'Performance', 'Indexes']",Potentially missing indexes were found based on query history. It may be important to revise them. Please note that this check based on a scoring method and the results may be approximate - for information purposes only.,https://docs.microsoft.com/sql/relational-databases/sql-server-index-design-guide,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Information
FullBackup,Full backup is missed or outdated,Create a new full backup of the database,definition,"['DefaultRuleset', 'Backup']",Database doesn't have any full backup or the latest full backup is over 7 days.,https://docs.microsoft.com/sql/relational-databases/backup-restore/create-a-full-database-backup-sql-server,Database,/^(Windows|Linux)$/,OnPremises,Warning
OutdatedTranLogBackup,Transaction Log backup is missed or outdated,Create a backup of Transaction Log. Database recovery model: @{recovery_model_desc},definition,"['DefaultRuleset', 'Backup']","Database does not have any transaction Log backup since the latest full or differential backup, or it's older than 24H.",https://docs.microsoft.com/sql/relational-databases/backup-restore/back-up-a-transaction-log-sql-server,Database,/^(Windows|Linux)$/,OnPremises,Warning
DbDiffCollation,Database collation doesn't match the collation of master,Keep database collation the same as the collation for master or model,definition,"['DefaultRuleset', 'DBConfiguration', 'Collation']","We recommend that the collations of user-defined databases match the collation of master or model. Otherwise, collation conflicts can occur that might prevent code from executing. For example, when a stored procedure joins one table to a temporary table, SQL Server might end the batch and return a collation conflict error if the collations of the user-defined database and the model database are different. This occurs because temporary tables are created in tempdb, which bases its collation on that of model.",https://docs.microsoft.com/sql/database-engine/set-collation-user-defined-databases-match-master-model-databases,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
AutoClose,Auto Close Option should be OFF,Set AUTO_CLOSE option to OFF,definition,"['DefaultRuleset', 'Performance', 'DBConfiguration']","When AUTO_CLOSE is set ON, this can cause performance degradation on frequently accessed databases because of the increased overhead of opening and closing the database after each connection. AUTO_CLOSE also flushes the procedure cache after each connection.",https://docs.microsoft.com/sql/relational-databases/policy-based-management/set-the-auto-close-database-option-to-off,Database,/^(Windows|Linux)$/,OnPremises,Warning
AutoShrink,Auto Shrink Option should be OFF,Set AUTO_SHRINK option to OFF.,definition,"['DefaultRuleset', 'DBConfiguration', 'Performance']","Shrinking databases is the fastest way to achieve fragmentation.  SQL Server goes to the last page in the database, moves it to the first free available space, and then repeats the process again. This shuffles the deck, putting your pages out of order.",https://blogs.msdn.microsoft.com/buckwoody/2009/07/01/sql-server-best-practices-auto-shrink-should-be-off,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
PageVerify,PAGE_VERIFY option should be CHECKSUM,Set PAGE_VERIFY option to CHECKSUM.,definition,"['DefaultRuleset', 'DBConfiguration', 'DataIntegrity']","When CHECKSUM is enabled for the PAGE_VERIFY database option, the SQL Server Database Engine calculates a checksum over the contents of the whole page, and stores the value in the page header when a page is written to disk. When the page is read from disk, the checksum is recomputed and compared to the checksum value that is stored in the page header. This helps provide a high level of data-file integrity.",https://docs.microsoft.com/sql/relational-databases/policy-based-management/set-the-page-verify-database-option-to-checksum,Database,/^(Windows|Linux)$/,OnPremises,Warning
DbChaining,Cross-Database Access should be disabled,Set DB_CHAINING option to OFF.,definition,"['DefaultRuleset', 'DBConfiguration', 'Security']",Ownership chaining across databases is turned off by default. Microsoft recommends that you disable cross-database ownership chaining because it exposes you to the additional security risks.,https://docs.microsoft.com/dotnet/framework/data/adonet/sql/enabling-cross-database-access-in-sql-server,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
AutoCreateStatsIncremental,Incremental option of auto stats should be ON,Set AUTO_CREATE_STATISTICS to ON and set INCREMENTAL to ON,definition,"['DefaultRuleset', 'DBConfiguration', 'Statistics', 'Performance']","Incremental statistics update at partition level is a feature introduced in SQL Server 2014. When the option INCREMENTAL is turn on at the database level, newly auto created column statistics will use incremental statistics on partitioned tables by default.",https://docs.microsoft.com/sql/relational-databases/statistics/statistics,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
TrustWorthy,TRUSTWORTHY should be OFF,Set TRUSTWORTHY option to OFF,definition,"['DefaultRuleset', 'DBConfiguration', 'Security']","You can use the TRUSTWORTHY database setting to indicate whether the instance of Microsoft SQL Server trusts the database and the contents within the database. By default, this setting is set to OFF to mitigate certain threats that may be present when a database is attached to the server.",https://support.microsoft.com/help/2183687/guidelines-for-using-the-trustworthy-database-setting-in-sql-server,Database,/^(Windows|Linux)$/,OnPremises,Warning
ParameterizationNotSimple,PARAMETERIZATION should be SIMPLE,"Set PARAMETERIZATION = SIMPLE and use forced parameterization only on a certain class of queries, instead of all queries",definition,"['DefaultRuleset', 'DBConfiguration', 'Performance', 'QueryOptimizer']","When the PARAMETERIZATION database option is set to SIMPLE, the SQL Server query optimizer may choose to parameterize the queries. This means that any literal values that are contained in a query are substituted with parameters. This process is referred to as simple parameterization. When SIMPLE parameterization is in effect, you cannot control which queries are parameterized and which queries are not. However, you can specify that all queries in a database be parameterized by setting the PARAMETERIZATION database option to FORCED.
 
 Regardless of whether you have a Plan-Stability or not, SQL Server will always auto parameterize your SQL Statements, and reuse the cached execution plan over and over again. It doesn't matter how terrible the execution plan is. Therefore you have to know in exact detail the shape of your execution plans, and whether they can lead to some performance related problems.",https://docs.microsoft.com/sql/relational-databases/performance/specify-query-parameterization-behavior-by-using-plan-guides,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
TempDBFilesNotSameSize,TempDB data files are not the same size,Make all TempDB data files the same size,definition,"['DefaultRuleset', 'TempDB', 'Performance', 'DBFileConfiguration']",We recommend that you create all TempDB data files at the same size.,https://support.microsoft.com/kb/2154845,Server,/^(Windows|Linux)$/,OnPremises,Warning
TempDBFilesMultiple4,Number of TempDB data files should be in multiples of 4,Make sure number of TempDB data files is in multiples of 4,definition,"['DefaultRuleset', 'TempDB', 'Performance', 'DBFileConfiguration']","Number of TempDB data files should correlate with the number of (logical) processors on the machine. As a general rule, if the number of logical processors is less than or equal to 8, use the same number of data files as logical processors. If the number of logical processors is greater than 8, use 8 data files and then if contention continues, increase the number of data files by multiples of 4 until the contention is reduced to acceptable levels or make changes to the workload/code.",https://support.microsoft.com/kb/2154845,Server,/^(Windows|Linux)$/,OnPremises,Warning
TempDBFiles1PerCPU,Number of TempDB data files should depend on CPU count,Make sure to have 1 data file per logical processor (processors count: @{online_logical_processors}),definition,"['DefaultRuleset', 'TempDB', 'Performance', 'DBFileConfiguration']","Number of TempDB data files should correlate with the number of (logical) processors on the machine. As a general rule, if the number of logical processors is less than or equal to 8, use the same number of data files as logical processors. If the number of logical processors is greater than 8, use 8 data files and then if contention continues, increase the number of data files by multiples of 4 until the contention is reduced to acceptable levels or make changes to the workload/code.",https://support.microsoft.com/kb/2154845,Server,/^(Windows|Linux)$/,OnPremises,Warning
TempDBFilesNotLess8,Number of TempDB data files should be at least 8,"Add extra data files to TempDB. There are @{physical_name} data files, should be at least 8",definition,"['DefaultRuleset', 'TempDB', 'Performance', 'DBFileConfiguration']","Number of TempDB data files should correlate with the number of (logical) processors on the machine. As a general rule, if the number of logical processors is less than or equal to 8, use the same number of data files as logical processors. If the number of logical processors is greater than 8, use 8 data files and then if contention continues, increase the number of data files by multiples of 4 until the contention is reduced to acceptable levels or make changes to the workload/code.",https://support.microsoft.com/kb/2154845,Server,/^(Windows|Linux)$/,OnPremises,Warning
TempDBFilesAutoGrowth,TempDB data files have different auto growth settings,Make Autogrowth settings the same for each TempDB data file,definition,"['DefaultRuleset', 'TempDB', 'Performance', 'DBFileConfiguration']","TempDB data files should be of equal size within each filegroup, as SQL Server uses a proportional-fill algorithm that favors allocations in files with more free space.",https://docs.microsoft.com/sql/relational-databases/databases/tempdb-database,Server,/^(Windows|Linux)$/,OnPremises,Warning
FilesAutogrowth,Database files have Autogrowth setting over 1GB,Set File Growth to less than 1GB for files: @{FileName},definition,"['DefaultRuleset', 'Performance', 'DBFileConfiguration']","A data or log file will be extended with auto-growth value to prevent the lack of free space in files. This process can perform significant impact on SQL Server performance if auto-growth value gets over 1 GB. By default, SQL Server will put zeros to a newly allocated space. And the more space it takes, the more time it takes to initialize it.",https://support.microsoft.com/help/315512/considerations-for-the-autogrow-and-autoshrink-settings-in-sql-server,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
DuplicateIndexes,There are tables with duplicate indexes,Consider removing duplicate indexes in table @{Table}: @{ToDelete},definition,"['DefaultRuleset', 'Performance', 'Indexes']",There are tables with duplicate indexes according to their definitions. We recommended to revise all these objects as soon as possible.,https://docs.microsoft.com/sql/relational-databases/sql-server-index-design-guide,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
RedundantIndexes,There are tables with possibly redundant indexes,Consider removing redundant indexes in table @{Table}: @{Indexes},definition,"['DefaultRuleset', 'Performance', 'Indexes']",There are tables with possibly redundant indexes according to the set of key and included columns. We recommended to revise all these objects as soon as possible.,https://docs.microsoft.com/sql/relational-databases/sql-server-index-design-guide,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
UserObjectsInMaster,User objects in database master,Remove user objects from database master: @{Object_Name},definition,"['DefaultRuleset', 'masterDB', 'Backup']","We highly recommend you not create user objects in the master database. If it's unavoidable for some reason, make sure to back up the database more frequently.",https://docs.microsoft.com/sql/relational-databases/databases/master-database,Database,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
CpuUtilOver70,CPU usage over 70%,Investigate high CPU utilization by SQL Server: over 70% in the last 2 hours,definition,"['DefaultRuleset', 'Performance', 'CPU']","CPU utilization rate in the last 2 hours is over 70% - consider review queries with high CPU usage or add additional hardware resources. Also, potential causes include memory pressure, low query plan reuse, non-optimized queries.",https://docs.microsoft.com/previous-versions/technet-magazine/cc137784(v=msdn.10),Server,Windows,"OnPremises, ManagedInstance",Warning
CpuUtilOver90,CPU usage over 90%,Investigate high CPU utilization by SQL Server: over 90% in the last 2 hours,definition,"['DefaultRuleset', 'Performance', 'CPU']","CPU utilization rate in the last 2 hours is over 90% - consider review queries with high CPU usage or add additional hardware resources. Also, potential causes include memory pressure, low query plan reuse, non-optimized queries.",https://docs.microsoft.com/previous-versions/technet-magazine/cc137784(v=msdn.10),Server,Windows,"OnPremises, ManagedInstance",Warning
ReplErrors24H,Replication errors in the last 24 hours,Review replication errors for the following publications: @{publication},definition,"['DefaultRuleset', 'Replication']",This check searches for errors in distribution database agent's history table for the last 24 hours.,https://docs.microsoft.com/sql/relational-databases/replication/sql-server-replication,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity10,Agent doesn't rise alerts for errors with severity 10,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity16,Agent doesn't rise alerts for errors with severity 16,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity17,Agent doesn't rise alerts for errors with severity 17,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity19,Agent doesn't rise alerts for errors with severity 19,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity20,Agent doesn't rise alerts for errors with severity 20,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity21,Agent doesn't rise alerts for errors with severity 21,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity22,Agent doesn't rise alerts for errors with severity 22,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity23,Agent doesn't rise alerts for errors with severity 23,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
AgentAlertsSeverity24,Agent doesn't rise alerts for errors with severity 24,Consider creating alerts for the following errors: @{error_ids},definition,"['DefaultRuleset', 'Agent']","Events are generated by SQL Server and entered into the Microsoft Windows application log. SQL Server Agent reads the application log and compares events written there to alerts that you have defined. When SQL Server Agent finds a match, it fires an alert, which is an automated response to an event. In addition to monitoring SQL Server events, SQL Server Agent can also monitor performance conditions and Windows Management Instrumentation (WMI) events.",https://docs.microsoft.com/sql/ssms/agent/alerts,Server,Windows,"OnPremises, ManagedInstance",Warning
WeakPassword,Weak password,Make sure to set strong passwords on the following logins: @{PasswordData},definition,"['DefaultRuleset', 'Security', 'WeakPassword']",Some user logins have weak passwords.,https://docs.microsoft.com/sql/relational-databases/security/strong-passwords,Server,/^(Windows|Linux)$/,"OnPremises, ManagedInstance",Warning
VLFCount,VLF count,Update transaction log settings to reduce the number of VLFs (current number is: @{RecoveryUnitId}),definition,"['DefaultRuleset', 'Backup', 'Performance']","The SQL Server Database Engine divides each physical log file internally into a number of virtual log files (VLFs). Virtual log files have no fixed size, and there is no fixed number of virtual log files for a physical log file. The Database Engine chooses the size of the virtual log files dynamically while it is creating or extending log files. The Database Engine tries to maintain a small number of virtual files. The size of the virtual files after a log file has been extended is the sum of the size of the existing log and the size of the new file increment. The size or number of virtual log files cannot be configured or set by administrators.
 
 If the log files grow to a large size in many small increments, they will have many virtual log files. This can slow down database startup and also log backup and restore operations. Conversely, if the log files are set to a large size with few or just one increment, they will have few very large virtual log files.
 
 We recommend that you assign log files a size value close to the final size required, using the required increments to achieve optimal VLF distribution, and also have a relatively large growth_increment value.",https://docs.microsoft.com/sql/relational-databases/sql-server-transaction-log-architecture-and-management-guide,Database,Windows,"OnPremises, ManagedInstance",Warning
TF8015,TF 8015 disables auto-detection and NUMA setup,Disable trace flag 8015 for this SQL Server instance. This TF does not apply to this SQL Server version,definition,"['DefaultRuleset', 'TraceFlag', 'CPU', 'NUMA']","SQL Server allows you to group CPUs into nodes referred to as soft-NUMA. You usually configure soft-NUMA when you have many CPUs and do not have hardware NUMA, but you can also use soft-NUMA to subdivide hardware NUMA nodes into smaller groups.",https://techcommunity.microsoft.com/t5/SQL-Server-Support/How-It-Works-Soft-NUMA-I-O-Completion-Thread-Lazy-Writer-Workers/ba-p/316044,Server,Windows,OnPremises,Warning
TF8032,TF 8032 reverts the cache limit parameters to the SQL Server 2005 RTM,The cache limit parameters reverted to the SQL Server 2005 RTM setting but can cause poor performance if large caches make less memory available for other memory consumers like BP,definition,"['DefaultRuleset', 'TraceFlag', 'Performance']",Trace Flag 8032 reverts the cache limit parameters to the SQL Server 2005 RTM setting but can cause poor performance if large caches make less memory available for other memory consumers like BP.,,Server,Windows,OnPremises,Warning
TF8744,TF 8744 disables pre-fetching for the Nested Loop operator,Disable trace flag 8744 for this SQL Server instance. This TF does not apply to this SQL Server version,definition,"['DefaultRuleset', 'TraceFlag', 'Performance']",Trace flag 8744 disables pre-fetching for the Nested Loops operator. Incorrect use of this trace flag may cause additional physical reads when SQL Server executes plans that contain the Nested Loops operator.,https://support.microsoft.com/en-us/help/920093/tuning-options-for-sql-server-when-running-in-high-performance-workloa,Server,Windows,OnPremises,Warning
